league,season,window,team_id,team_name,team_country,dir,player_id,player_name,player_age,player_nation,player_pos,counter_team_id,counter_team_name,counter_team_country,transfer_fee_amnt,market_val_amnt,is_free,is_loan,is_loan_end,is_retired,transfer_id,log_transfer_fee,log_market_value,age_sq,buying_club_median_fee,log_buying_club_median,sub_position,foot,height_in_cm,country_of_citizenship,goals_per_90,assists_per_90,pos_AM,pos_CB,pos_CF,pos_CM,pos_DM,pos_GK,pos_LB,pos_LM,pos_LW,pos_RB,pos_RM,pos_RW,pos_SS,league_pair,has_appearance_history,has_buying_club_history
GB1,2017,s,1110,Huddersfield Town,England,in,157368,Tom Ince,25.0,England,RW,22,Derby County,England,9100000.0,1500000.0,False,False,False,False,1821542,16.02378497148708,14.22097566607244,625.0,1620000.0,14.297936707208567,Right Winger,left,178.0,England,0.09249743062692703,0.18499486125385406,False,False,False,False,False,False,False,False,False,False,False,True,False,England_to_England,1,1
GB1,2017,s,1110,Huddersfield Town,England,in,123951,Aaron Mooy,26.0,Australia,CM,281,Manchester City,England,9100000.0,7500000.0,False,False,False,False,1815570,16.02378497148708,15.830413578506539,676.0,8125000.0,15.910456286180075,Central Midfield,right,174.0,Australia,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,England_to_England,0,1
GB1,2017,s,1110,Huddersfield Town,England,in,238639,Steve Mounié,22.0,Benin,CF,969,Montpellier HSC,France,13000000.0,7000000.0,False,False,False,False,1822401,16.38045991542581,15.761420707019587,484.0,6200000.0,15.64005985001532,Centre-Forward,right,189.0,Benin,0.4396371249127704,0.0942079553384508,False,False,True,False,False,False,False,False,False,False,False,False,False,France_to_England,1,1
GB1,2017,s,1237,Brighton & Hove Albion,England,in,262895,Soufyan Ahannach,21.0,Netherlands,AM,723,Almere City FC,Netherlands,600000.0,300000.0,False,False,False,False,1874260,13.304684934198283,12.611537753638338,441.0,4099999.999999999,15.226497531674536,Left Winger,right,179.0,Netherlands,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,Netherlands_to_England,0,0
GB1,2017,s,1237,Brighton & Hove Albion,England,in,257805,Mathias Normann,21.0,Norway,DM,501,FK Bodø/Glimt,Norway,1400000.0,13000000.0,False,False,False,False,1846025,14.151982794585487,16.38045991542581,441.0,4099999.999999999,15.226497531674536,Defensive Midfield,right,179.0,Norway,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,Norway_to_England,0,0
L1,2017,s,15,Bayer 04 Leverkusen,Germany,in,193782,Lucas Alario,24.0,Argentina,CF,209,Club Atlético River Plate,Argentina,24000000.0,15000000.0,False,False,False,False,1903497,16.99356438831222,16.523560759066484,576.0,4500000.0,15.319587954740548,Centre-Forward,right,185.0,Argentina,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,Argentina_to_Germany,0,1
GB1,2017,s,1132,Burnley FC,England,in,173483,Nahki Wells,27.0,Bermuda,CF,1110,Huddersfield Town,England,5400000.0,3000000.0,False,False,False,False,1899932,15.501909511534503,14.914122846632385,729.0,4099999.999999999,15.226497531674536,Centre-Forward,right,170.0,Bermuda,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,England_to_England,0,0
GB1,2017,s,1132,Burnley FC,England,in,40613,Jack Cork,28.0,England,DM,2288,Swansea City,England,9100000.0,5000000.0,False,False,False,False,1831856,16.02378497148708,15.424948470398375,784.0,14325000.0,16.47751682056508,Defensive Midfield,right,185.0,England,0.03199146894161557,0.06398293788323114,False,False,False,False,True,False,False,False,False,False,False,False,False,England_to_England,1,1
GB1,2017,s,1132,Burnley FC,England,in,108725,Chris Wood,25.0,New Zealand,CF,399,Leeds United,England,16399999.999999998,8000000.0,False,False,False,False,1888154,16.612791892794426,15.89495209964411,625.0,4000000.0,15.201804919084164,Centre-Forward,right,191.0,New Zealand,0.6521739130434783,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,England_to_England,1,1
GB1,2017,s,989,AFC Bournemouth,England,in,33873,Asmir Begovic,30.0,Bosnia-Herzegovina,GK,631,Chelsea FC,England,11500000.0,1200000.0,False,False,False,False,1778660,16.25785759333348,13.997832114758229,900.0,6950000.0,15.754252217540975,Goalkeeper,right,199.0,Bosnia-Herzegovina,0.007489390030789715,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,England_to_England,1,1
